Genus,Species,Notes,CURRENTLY.IN.DATASET,USE.FOR.EVO.RATES,Total.FibersL,Total.FibersR,Carapace.Width.mm,NFibers.X,NFibers.Y,ICS.placement,Function,Locality,Sex,ID,Folder,Suborder,Infraorder,Superfamily,Family (one for each),Figure,InPhylogeny
Alaranea,merina,,X,X,7,6,0.5985,2,6,2,,Madagascar,female,CASENT9030445,20190426_020324_Alaranea_CASENT9030445_F_10X_20KeV_z80,Opisthothelae,Araneomorphae,Araneoidea,Cyatholipidae,A_mer,Matilda sp.
Holarchaea,sp.,,,X,12,11,,,,,,New Zealand,female,CASENT9061535,20190425_153555_Holarchaea_CASENT9061535_F_10X_20keV_z80,Opisthothelae,Araneomorphae,Araneoidea,Anapidae,Hol,Anapisonahamigera144068
Ambohima,sublima,,X,,24,,2.209,3,14,2,,,,CASENT9024826,CT1900014_Ambohima_sublima_F_CASENT9024826_IKI_diamond_rescan,Opisthothelae,Araneomorphae,Tibial Apophysis Clade,Phyxelididae,A_sub,"*Cybaeodamus taim (different family, one node up)"
Aotearoa,magna,,X,X,NA,NA,1.054,5,29,3,,New Zealand,female,CASENT 9028269,20130713_112628_Aotearoa_magna_F_9028269_IKI_,Opisthothelae,Araneomorphae,Palpimanoidea,Mecysmaucheniidae,A_mag,Mecysmauchenius sp.
Aphonopelma,seemanni,,X,X,224,239,17.93,13,49,0,,,female,USNMENT01580052,Aphonopelma2_USNMENT01580052_F_IKI,Opisthothelae,Mygalomorphae,Mygalomorphae,Theraphosidae,A_see,Exact Match
Archaeidae,,,,,,,,,,,,,,,,,,,,,Austrarchaea
Araneus,marmoreus,,X,X,20,24,4.026,3,12,2,,United States of America,female,USNMENT01539267,Araneus_marmoreus_USNMENT01539267,Opisthothelae,Araneomorphae,Araneoidea,Araneidae,A_mar,Exact Match
Archoleptoneta,sp.,,X,,7,8,0.523,2,4,2,,,female,CASENT9034647,20190425_183610_Archoleptoneta_CASENT9034647_F_10X_20keV_z80_c,Opisthothelae,Araneomorphae,Leptonetidae&Austrochiloidea,Archoleptonetidae,Arc,Exact Match
Arkys,sp.,,X,X,39,36,2.506,4,16,2,,Australia,female,GH1102,Arkys_sp_GH1102,Opisthothelae,Araneomorphae,Araneoidea,Arkyidae,Ark,Exact Match
Izithunzi,capense,Muscle unclear,,,,,,,,2,,,,CASENT9043287,,Opisthothelae,Araneomorphae,N/A,N/A,I_cap,Drymusa sp.
Australomimetus,sp.,,X,X,14,14,1.496,2,12,2,,New Zealand,female,USNMENT01539129,Australomimetus_sp_USNMENT01539129,Opisthothelae,Araneomorphae,Araneoidea,Mimetidae,Aus,Exact Match
Calileptoneta,sp.,,X,,5,6,0.7579,2,8,2,,,,CASENT9034645,20190502_125529_Calileptoneta_CASENT9034645_F_10X_20KV_z75 or 20190426_003538_Calileptoneta_CASENT9034645_F_10X_20KeV_z80_b,Opisthothelae,Araneomorphae,Leptonetidae&Austrochiloidea,Leptonetidae,Cal,Exact Match
Castianeira,longipalpa,,X,,32,,2.47,3,17,2,,,,USNMENT01458572,CT1900014_Castianeira_longipalpa_F_USNMENT01458572_IKI_diamond,Opisthothelae,Araneomorphae,RTA Clade,Corinnidae,C_lon,Nyssus sp.
Conculus,sp.,,,,,,,,,,,,,USNMENT01377540,20190502_193903_Conoculus_USNMENT01377540_F_4X_20KV_z75,Opisthothelae,Araneomorphae,Araneoidea,Anapidae,Con,Anapis sp. GH2392
Cheiracanthium,ashleyi,,X,X,14,16,1.364,2,10,2,,Madagascar,female,CASENT9010839,20190430_212938_Cheiracanthium_CASENT9010839_F_20kV_4X_z70,Opisthothelae,Araneomorphae,RTA Clade,Cheiracanthiidae,C_ash,Karaops
Chilenodes,australis,,X,X,6,5,0.9337,2,5,2,,Chile,female,CASENT9027563,20190426_072538_Chilenodes_CASENT9027563_F_4X_20KeV_z80,Opisthothelae,Araneomorphae,Araneoidea,Malkaridae,C_aus,Malkara
Cycloctenus,westlandicus,Fibers stuck together? Go to very top and estimate #,X,,NA,NA,5.065,5,29,2,,,,USNMENT01580032,Cycloctenidae_USNMENT01580032_F_IKI,Opisthothelae,Araneomorphae,RTA Clade,Cyclotenidae,C_wes,Cycloctenus
Asianopis,sp.,,X,,32,33,3.355,6,24,3,,,,CASENT9024759,Deinopidae_F_CAS9024759_7.78um,Opisthothelae,Araneomorphae,UDOH grade,Deinopidae,Asi,Deinopis sp
DiplocephalusM,latifrons,,,,,,,,,,,Denmark,male and female,USNMENT01580651,Do not use. Use female instead.,Opisthothelae,Araneomorphae,Araneoidea,Linyphiidae,D_lat,no
Dictyna,brevitarsus,,X,X,20,19,0.8663,2,12,2,,United States of America,female,USNMENT01458808,20190426_023443_Dictyna_USNMENT01458808_F_4X_20KeV_z80,Opisthothelae,Araneomorphae,RTA Clade,Dictynidae,D_bre,Dictynasancta139202
Diplocephalus,sp.,,X,X,13,10,0.6138,3,7,2,,,,GWUvoucher,20190430_104803_Diplocephalus_GWUvoucher_F_10X_20KV_z70,Opisthothelae,Araneomorphae,Araneoidea,Linyphiidae,Dip,Neomaso
Dolichognatha,sp.,,X,X,9,8,1.066,2,5,2,,Uganda,female,CASENT9034615,20190430_193948_Dolichognatha_CASENT9034615_F_20kV_4X_z70_c,Opisthothelae,Araneomorphae,Araneoidea,Tetragnathidae,Dol,Exact Match
Dolomedes,tenebrosus,,X,,24,23,9.281,4,12,2,,,,USNMENT01539355,Dolomedes_tenebrosus_USNM1539355_FIKI,Opisthothelae,Araneomorphae,RTA Clade,Pisauridae,D_ten,Exact Match
Dysdera,crocata,,X,X,92,NA,3.594,5,26,0,,United States of America,female,CASENT9052366,Dysdera_crocata_CASENT9052366,Opisthothelae,Araneomorphae,Synspermiata,Dysderidae,D_cro,Exact Match
Eriauchenus,workmani,,X,,12,,1.136,2,11,3,,,,CASENT9028423,CT1900014_Eriauchenius_workmani_F_CASENT9028423_IKI_diamond,Opisthothelae,Araneomorphae,Palpimanoidea,Archaeidae,E_wor,Austrarchaea sp.
Gallieniella,betroka,,X,,23,24,1.746,2,12,2,,Madagascar,Male,CASENT9021649,Gallieniellidae_M_CASENT9021649_75EtOH_IKI_3,Opisthothelae,Araneomorphae,RTA Clade,Gallieniellidae,G_bet,Liocranidae
Gradungula,sorenseni,,X,X,81,76,3.993,6,28,0,,New Zealand,female,USNMENT01539356,Gradungulidae_sp_USNMENT01539356,Opisthothelae,Araneomorphae,Leptonetidae&Austrochiloidea,Gradungulidae,G_sor,Gradungula sorenseni
Hersilia,sp.,,X,,8,9,1.466,3,5,2,,,,CASENT9001205,20190502_190826_Hersiliid_CASENT9001205_F_4X_20KV_z75,Opisthothelae,Araneomorphae,UDOH grade,Hersiliidae,Her,Hersilia
Hickmania,troglodytes,,X,,25,24,4.625,4,22,2,,,,CAS9020543,Hickmania_F_CAS9020543_7.78um,Opisthothelae,Araneomorphae,Leptonetidae&Austrochiloidea,Austrochilidae,H_tro,Exact Match
Huttoniidae,,,,,,,,,,,,,,,,,,,,,Huttonia
Hyptiotes,cavatus,,X,,4,5,1.288,1,4,2,,,,USNMENT01458813,20190426_081843_Hyptiotes_USNMENT01458813_F_4X_20KeV_z80,Opisthothelae,Araneomorphae,UDOH grade,Uloboridae,H_cav,Philoponella
Hogna,carolinensis,,X,X,28,28,9.12,4,16,2,,United States of America,female,Denver 29071,Hogna_carolinensis_F_DMNS2A29071,Opisthothelae,Araneomorphae,RTA Clade,Lycosidae,H_car,Lycosa sp.
Kukulcania,hibernalis,,X,X,8,7,4.444,4,3,1,,United States,female,USNMENT01458829,Kukulcania_hibernalis_F_USNMENT01458829_scan2,Opisthothelae,Araneomorphae,H&F,Filistatidae,K_hib,Exact Match
Latrodectus,geometricus,,X,X,6,5,3.029,2,5,2,,United States of America,female,USNMENT01539206,Latrodectus_geometricus_USNMENT01539206,Opisthothelae,Araneomorphae,Araneoidea,Theridiidae,L_geo,Exact Match
