,PArea.SzCorr,FibNo.SzCorr,AMUS.SzCorr,FCPY.SzCorr,FCPZ.SzCorr,FMUS.SzCorr,PCA.PArea,PCA.FibNo,PCA.AMUS,PCA.FCPY,PCA.FCPZ,PCA.FMUS
Alaranea,0.004926769,6,122.2946012,-0.005202156,0.008230714,0.009736893,-0.023669696,-0.485698924,1.528383,-1.035876965,-0.138324527,-0.000543243
Ambohima,0.003618573,22,105.2697101,-0.001885954,0.006908235,0.007161043,-0.375139322,-0.178427139,0.510341,-0.246804237,-0.338680369,-0.362369276
Aotearoa,0.015103901,68,46.43289905,0.019740149,0.020753047,0.02864197,2.710593957,0.704979244,-3.00794,4.899012868,1.758810509,2.655025747
Aphonopelma,0.011975239,236,97.22970266,-0.002811302,0.022161345,0.022338948,1.870024454,3.93133299,0.02957,-0.466985738,1.972167785,1.769649322
Araneus,0.005771146,17,114.4942846,-0.00457736,0.010046756,0.01104036,0.203186882,-0.274449572,1.061945,-0.887210099,0.136806079,0.182552827
Archoleptoneta,0.000819489,5,90.228966,-6.54E-06,0.001637666,0.001637679,-1.127161959,-0.504903411,-0.389055,0.200391409,-1.137172222,-1.138228204
Arkys,0.00768674,35,109.3754052,-0.004768737,0.013560138,0.01437422,0.717844553,0.071231187,0.75585,-0.932747065,0.669083838,0.650855333
Asianopis,0.006069322,33,85.56336695,0.000918462,0.011837526,0.011873104,0.283297054,0.032822213,-0.668045,0.420491752,0.408107953,0.29952723
Australomimetus,0.00429914,11,86.36103173,0.000530913,0.008348015,0.00836488,-0.192293151,-0.389676491,-0.620347,0.328276581,-0.120553464,-0.193267913
Calileptoneta,0.002462422,8,118.7807161,-0.002360844,0.004297785,0.004903523,-0.685759412,-0.447289951,1.318262,-0.359801652,-0.734163945,-0.679479871
Castianeira,0.00268922,30,115.1016631,-0.002217411,0.004733308,0.005226961,-0.624826181,-0.024791246,1.098265,-0.325672602,-0.66818208,-0.634047025
Cheiracanthium,0.007584521,15,113.8589674,-0.005999486,0.013564828,0.014832343,0.690381639,-0.312858545,1.023955,-1.22559737,0.669794435,0.715207271
Chilenodes,0.001881623,7,96.52097561,-0.000426153,0.003728166,0.003752443,-0.841801172,-0.466494438,-0.01281,0.100547664,-0.820461225,-0.841170381
Cycloctenus,0.00602289,59,109.9027964,-0.004007143,0.011067922,0.011770985,0.270822289,0.532138865,0.787387,-0.751529798,0.291512739,0.285182668
Dictyna,0.005751094,13,117.9718093,-0.005327905,0.010032236,0.01135924,0.197799563,-0.351267518,1.269891,-1.065798099,0.1346062,0.227345405
Diplocephalus,0.005024204,9,110.4210616,-0.003469149,0.009317775,0.009942632,0.002507913,-0.428085465,0.818377,-0.623517019,0.026365297,0.028356546
Dolichognatha,0.003216189,6,100.4654894,-0.001160112,0.006280511,0.006386758,-0.483246787,-0.485698924,0.223061,-0.074093773,-0.433780592,-0.471131921
Dolomedes,0.002582361,26,99.47038928,-0.000840202,0.005036838,0.005106435,-0.653535712,-0.101609193,0.163557,0.002027023,-0.622197191,-0.650977052
Dysdera,0.007233996,105,68.60952375,0.005099271,0.013018174,0.013981253,0.596206997,1.415545247,-1.681838,1.415293167,0.5869763,0.595655837
Eriauchenus,0.002444015,8,74.73330678,0.001272029,0.004660399,0.004830878,-0.690704773,-0.447289951,-1.315653,0.50462133,-0.67922779,-0.68968422
Gallieniella,0.00326351,16,67.6926877,0.002446101,0.005962042,0.006444327,-0.470533177,-0.293654058,-1.736663,0.78398533,-0.482028731,-0.463045295
Gradungula,0.008496949,84,112.2783239,-0.006148796,0.015008483,0.016225329,0.935521303,1.012251029,0.929437,-1.261124796,0.888508369,0.910878026
Hersilia,0.000930759,8,87.31647841,8.69E-05,0.001854417,0.001856452,-1.097267336,-0.447289951,-0.563214,0.222630209,-1.104334507,-1.107497454
