,Web Code,Foraging web
Alaranea,2,1
Ambohima,2,1
Aotearoa,6,0
Aphonopelma,8,0
Araneus,0,1
Archoleptoneta,6,0
Arkys,6,0
Asianopis,0,1
Australomimetus,6,0
Calileptoneta,2,0
Castianeira,6,0
Cheiracanthium,6,0
Chilenodes,6,0
Cycloctenus,6,0
Dictyna,4,1
Diplocephalus,3,1
Dolichognatha,0,1
Dolomedes,6,0
Dysdera,6,0
Eriauchenus,6,0
Gallieniella,6,0
Gradungula,6,0
Hersilia,3,1
Hickmania,2,1
Hogna,6,0
Hyptiotes,0,1
Kukulcania,3,1
Latrodectus,5,1
Liphistius,8,0
Litodamus,3,1
Nesticus,5,1
Novanapis,0,1
Ochyroceratidae,1,1
Ommatauxesis,6,0
Opopaea,6,0
Orchestina,6,0
Orthonops,6,0
Palpimanus,6,0
Pararchaea,6,0
Periegops,6,0
Phrurotimpus,6,0
Pimoa,4,1
Plato,0,1
Platyoides,6,0
Plectreurys,9,1
Schizocosa,6,0
Sphodros,7,0
Stegodyphus,2,1
Usofila,4,0
Thelechoris,3,1
Theridiosoma,0,1
Trachelas,6,0
Uloborus,0,1
Wiltonia,6,0
Xysticus,6,0
