"","Total.FibersL","Estimated.Fibers","CW"
"Alaranea",7,6,0.5985
"Ambohima",24,22,2.209
"Aotearoa",NA,68,1.054
"Aphonopelma",224,236,17.93
"Araneus",20,17,4.026
"Archoleptoneta",7,5,0.523
"Arkys",39,35,2.506
"Australomimetus",14,11,1.496
"Calileptoneta",5,8,0.7579
"Castianeira",32,30,2.47
"Cheiracanthium",14,15,1.364
"Chilenodes",6,7,0.9337
"Cycloctenidae",NA,59,5.065
"Deinopidae",32,33,3.355
"Dictyna",20,13,0.8663
"Diplocephalus",13,9,0.6138
"Dolichognatha",9,6,1.066
"Dolomedes",24,26,9.281
"Dysdera",92,105,3.594
"Eriauchenius",12,8,1.136
"Gallieniellidae",23,16,1.746
"Gradungulidae",81,84,3.993
"Hersiliid",8,8,1.466
"Hickmania",25,42,4.625
"Hogna",28,32,9.12
"Hyptiotes",4,2,1.288
"Kukulcania",8,8,4.444
"Latrodectus",6,4,3.029
"Liphistius",308,307,14.03
"Nesticus",7,8,0.9585
"Nicodamidae",20,20,2.198
"Novanapis",7,4,0.5163
"Ochyroceratidae",10,10,0.7391
"Ommatauxisis",6,7,1.069
"Opopaea",9,10,0.6731
"Orchestina",4,5,0.4976
"Orsolobidae",19,17,0.8527
"Orthonops",NA,58,1.022
"Palpimanus",78,56,2.246
"Pararchaea",NA,12,0.4684
"Periegops",35,28,2.542
"Phrurotimpus",6,7,0.9636
"Pimoa",6,6,2.187
"Plato",11,9,1.122
"Platyoides",45,29,1.958
"Plectreurys",5,4,3.336
"Schizocosa",19,13,3.21
"Sphodros",66,64,3.829
"Stegodyphus",46,45,2.976
"Tellemidae",1,1,0.5237
"Thelechoris",24,16,5.696
"Theridiosoma",6,5,0.7575
"Trachelas",25,21,2.547
"Uloborus",4,4,1.156
"Xysticus",27,40,4.175
